i,time
200,0.0005
400,0.0013
600,0.0013
800,0.0015
1000,0.0022
1200,0.0033
1400,0.0036
1600,0.0038
1800,0.0051
2000,0.0056
2200,0.0056
2400,0.0056
2600,0.0058
2800,0.0071
3000,0.0073
3200,0.0074
3400,0.0082
3600,0.0093
3800,0.0090
4000,0.0101
4200,0.0100
4400,0.0106
4600,0.0109
4800,0.0125
5000,0.0128
5200,0.0132
5400,0.0139
5600,0.0144
5800,0.0149
6000,0.0153
6200,0.0159
6400,0.0163
6600,0.0187
6800,0.0187
7000,0.0192
7200,0.0202
7400,0.0216
7600,0.0213
7800,0.0215
8000,0.0224
8200,0.0229
8400,0.0228
8600,0.0232
8800,0.0245
9000,0.0264
9200,0.0267
9400,0.0257
9600,0.0298
9800,0.0286
